"QUARTER","ORIGIN","ORIGIN_STATE_ABR","DEST","DEST_STATE_ABR","AIRPORT_GROUP","OP_CARRIER_GROUP","PASSENGERS","MARKET_FARE","MARKET_DISTANCE","ITIN_GEO_TYPE","numLayovers"
1,"PHX","AZ","JFK","NY","PHX:JFK","AA",1,167.42,2153,2,0
1,"CLT","NC","ROC","NY","CLT:ROC","US",1,345,573,2,0
1,"LGA","NY","MCO","FL","LGA:MCO","DL",2,209,950,2,0
1,"MIA","FL","LGA","NY","MIA:LGA","AA",16,118,1096,2,0
1,"ABQ","NM","LGA","NY","ABQ:MDW:LGA","WN:WN",3,120,1121,2,1
1,"LGA","NY","HOU","TX","LGA:HOU","WN",4,348,1428,2,0
1,"HHH","SC","LGA","NY","HHH:CLT:LGA","17:MQ",1,232.5,207,2,1
1,"FLL","FL","LGA","NY","FLL:JFK:LGA","DL:--",1,328.92,1069,2,1
1,"ALB","NY","PHL","PA","ALB:PHL","ZW",1,230.5,212,2,0
1,"LGA","NY","MCO","FL","LGA:MCO","B6",2,224,950,2,0
1,"BQN","PR","JFK","NY","BQN:JFK","B6",1,234.5,1576,1,0
1,"ROC","NY","LAX","CA","ROC:EWR:LAX","EV:UA",1,702.26,246,2,1
1,"LGA","NY","TPA","FL","LGA:TPA","DL",1,343,1010,2,0
1,"TPA","FL","BUF","NY","TPA:BUF","WN",1,107.89,1053,2,0
1,"BUF","NY","MSP","MN","BUF:MSP","YX",1,124,735,2,0
1,"LGA","NY","ATL","GA","LGA:EWR:ATL","--:DL",1,326.5,17,2,1
1,"OGG","HI","ALB","NY","OGG:SFO:IAD:ALB","UA:UA:YX",1,687.84,2338,1,2
1,"DFW","TX","HPN","NY","DFW:PHL:HPN","US:ZW",1,196.32,1303,2,1
1,"LGA","NY","MIA","FL","LGA:MIA","DL",1,134.24,1096,2,0
1,"LGA","NY","MKE","WI","LGA:MKE","9E",1,106.5,738,2,0
1,"JFK","NY","ABQ","NM","JFK:ABQ","B6",1,240.5,1826,2,0
1,"HPN","NY","PBI","FL","HPN:PBI","B6",1,223,1056,2,0
1,"JFK","NY","MCO","FL","JFK:MCO","B6",14,197,944,2,0
1,"JFK","NY","PDX","OR","JFK:PDX","DL",1,277,2454,2,0
1,"DCA","VA","LGA","NY","DCA:LGA","US",2,179.5,214,2,0
1,"JFK","NY","SJU","PR","JFK:SJU","AA",1,191.5,1598,1,0
1,"CVG","KY","LGA","NY","CVG:DCA:LGA","US:US",1,425.62,411,2,1
1,"BUF","NY","MDW","IL","BUF:MDW","WN",1,104,468,2,0
1,"FLL","FL","LGA","NY","FLL:LGA","DL",14,108.5,1076,2,0
1,"GPT","MS","BUF","NY","GPT:ATL:BUF","DL:DL",1,168.5,352,2,1
1,"IND","IN","LGA","NY","IND:LGA","S5",1,186.5,660,2,0
1,"JFK","NY","RDU","NC","JFK:CLT:RDU","US:US",1,89,541,2,1
1,"CHA","TN","SYR","NY","CHA:ATL:JFK:SYR","EV:DL:RP",1,255,106,2,2
1,"JFK","NY","BOS","MA","JFK:BOS","AA",1,218,187,2,0
1,"HPN","NY","PBI","FL","HPN:PBI","B6",1,257,1056,2,0
1,"BUF","NY","LAS","NV","BUF:JFK:LAS","RP:DL",1,390.9,301,2,1
1,"DTW","MI","LGA","NY","DTW:ORD:LGA","US:AA",1,295,235,2,1
1,"MIA","FL","LGA","NY","MIA:LGA","DL",2,281.5,1096,2,0
1,"BOS","MA","JFK","NY","BOS:JFK","B6",5,100,187,2,0
1,"LGA","NY","BNA","TN","LGA:BNA","MQ",2,134,764,2,0
1,"ROC","NY","LGA","NY","ROC:LGA","G7",1,112.5,254,2,0
1,"ROC","NY","AUS","TX","ROC:PHL:AUS","17:US",1,72.26,257,2,1
1,"JFK","NY","MSY","LA","JFK:MSY","9E",1,122,1182,2,0
1,"MCO","FL","LGA","NY","MCO:LGA","DL",1,505.5,950,2,0
1,"LGA","NY","IND","IN","LGA:IND","G7",1,420,660,2,0
